transaction_id,transaction_date,transaction_amount,merchant_category,card_type,transaction_location,cardholder_age,cardholder_gender,transaction_description,account_balance,calander_income
162,05-11-2023,1232,Groceries,Discover,Banpu,78,Male,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",34435,85734
163,13-05-2024,9536,Groceries,Visa,Punta Cana,60,Female,Etiam faucibus cursus urna.,31859,68038
164,28-10-2023,1839,Clothing,MasterCard,Loandjili,42,Female,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3370,53748
165,27-11-2023,1527,Clothing,Visa,Kỳ Anh,48,Male,Ut tellus. Nulla ut erat id mauris vulputate elementum.,33283,30092
166,26-07-2024,5721,Clothing,MasterCard,Gokwe,65,Female,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,25893,102082
167,28-04-2024,3037,Restaurant,Discover,Zagreb - Centar,87,Male,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,62001,83970
168,05-12-2023,9958,Healthcare,Discover,Rohia,74,Male,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",27397,108009
169,20-12-2023,4521,Entertainment,Visa,Jimaguayú,70,Female,Sed accumsan felis. Ut at dolor quis odio consequat varius.,57178,46681
170,02-03-2024,1920,Education,Amex,Seke,91,Female,Aliquam erat volutpat. In congue. Etiam justo.,89472,34543
171,25-12-2023,7434,Education,Amex,Karatsu,99,Female,Suspendisse accumsan tortor quis turpis. Sed ante.,46047,125245
172,19-12-2023,7649,Groceries,Amex,Chŏngju,59,Female,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",68144,73508
173,04-10-2023,7383,Clothing,Visa,Nancy,45,Female,Donec ut mauris eget massa tempor convallis.,64406,23175
174,06-09-2024,1676,Electronics,MasterCard,Alameda,95,Male,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,80297,52287
175,19-10-2023,7234,Groceries,MasterCard,Borås,59,Male,Sed accumsan felis.,50135,46098
176,08-04-2024,9905,Groceries,Amex,Legaspi,99,Female,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,78515,33127
177,04-05-2024,8907,Restaurant,Discover,Göteborg,74,Male,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",90685,125610
178,14-12-2023,7296,Clothing,Amex,Cikandang,81,Female,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,12130,94721
179,02-01-2024,4664,Entertainment,Discover,Pingya,96,Female,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",60461,39569
180,12-05-2024,3793,Restaurant,MasterCard,Prudentópolis,63,Male,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,18687,193175
181,28-08-2024,8226,Entertainment,Amex,Pawonków,59,Male,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,6577,65126
182,25-06-2024,1199,Groceries,Visa,Kovilj,36,Non-binary,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",25407,144640
183,02-08-2024,2285,Restaurant,MasterCard,Tracal,92,Male,Morbi a ipsum. Integer a nibh. In quis justo.,75333,126550
184,03-01-2024,3282,Groceries,Amex,Aldeia,64,Male,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",22661,198659
185,13-11-2023,1722,Restaurant,Discover,Melíti,80,Male,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",41861,91497
186,22-06-2024,7576,Groceries,Discover,Parawan,26,Female,Suspendisse ornare consequat lectus.,49593,50948
187,01-03-2024,4497,Healthcare,Visa,Singasari,50,Female,Aenean fermentum.,54124,121362
188,19-10-2023,5589,Clothing,Amex,Etten-Leur,43,Male,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",18133,181648
189,07-12-2023,5389,Electronics,Amex,Suhong,72,Female,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,58089,192261
190,18-02-2024,5624,Clothing,Discover,Zengguang,95,Female,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,92917,29634
191,19-06-2024,9732,Restaurant,Visa,Cluses,69,Male,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,49583,196558
192,02-11-2023,3242,Healthcare,Discover,Kalisangkrah Lor,29,Male,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",47117,91441
193,14-03-2024,2739,Entertainment,Amex,Andradas,36,Male,Ut at dolor quis odio consequat varius. Integer ac leo.,14326,69061
194,05-11-2023,111,Travel,MasterCard,Göteborg,77,Female,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",43042,78126
195,03-05-2024,9178,Travel,Amex,Xianghu,62,Female,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",36209,120896
196,17-10-2023,7087,Electronics,Amex,Bayan Uula Sumu,83,Female,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",41458,86368
197,08-03-2024,6355,Electronics,MasterCard,Cisewu,60,Male,Quisque ut erat. Curabitur gravida nisi at nibh.,7663,131963
198,17-11-2023,2206,Education,Visa,Soanindrariny,25,Female,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",77949,177653
199,03-05-2024,7235,Restaurant,Visa,Lingbei,73,Female,Aliquam non mauris. Morbi non lectus.,23718,152978
200,19-04-2024,4333,Groceries,Visa,Ancona,28,Male,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,54384,48983
201,30-06-2024,6729,Clothing,MasterCard,Jirjā,26,Female,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",39840,128288
202,07-08-2024,8585,Entertainment,Visa,Dasha,19,Female,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,15360,27796
203,24-02-2024,5733,Education,Visa,Melgar,61,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",88377,50913
204,02-08-2024,6168,Electronics,Discover,Rostov-na-Donu,24,Male,Integer tincidunt ante vel ipsum.,45132,85498
205,15-12-2023,5389,Restaurant,Visa,Iwanuma,92,Male,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",40771,109123
206,19-01-2024,897,Healthcare,MasterCard,Mugango,37,Female,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",69816,74944
207,09-05-2024,1488,Entertainment,Visa,Cigaluh,71,Male,Suspendisse ornare consequat lectus.,77224,58528
208,19-06-2024,9973,Restaurant,MasterCard,Mersam,57,Female,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",65440,90662
209,10-10-2023,5445,Healthcare,MasterCard,Anggana,30,Male,Nullam molestie nibh in lectus. Pellentesque at nulla.,2404,137284
210,30-08-2024,1349,Education,Amex,Iriga City,52,Male,Nunc rhoncus dui vel sem. Sed sagittis.,29987,76542
211,02-04-2024,981,Healthcare,Visa,Chaniá,53,Polygender,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,76778,52809
212,31-03-2024,9915,Entertainment,Amex,Aqtaū,87,Male,Nunc nisl.,18208,45191
213,30-01-2024,1721,Restaurant,Discover,Sindangsari,33,Male,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",796,36194
214,29-09-2023,1388,Entertainment,MasterCard,Ningxi,26,Male,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",63306,24044
215,21-10-2023,7513,Groceries,Discover,Eaubonne,54,Female,Nulla mollis molestie lorem.,94496,120904
216,08-01-2024,1958,Restaurant,MasterCard,Dashu,34,Female,Sed vel enim sit amet nunc viverra dapibus.,81652,134110
217,17-02-2024,5440,Healthcare,Discover,Sulahan,65,Male,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",26584,152766
218,16-03-2024,7488,Entertainment,Discover,San Isidro,86,Male,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",59374,113666
219,28-05-2024,4365,Electronics,Visa,Bourail,93,Female,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",72848,159960
220,06-06-2024,4088,Entertainment,MasterCard,Ḩātim,43,Male,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",60825,187051
221,14-10-2023,4741,Healthcare,Discover,Pregonero,41,Female,Nulla justo.,97852,187646
222,09-08-2024,2176,Groceries,Discover,Nāḩiyat Alī ash Sharqī,66,Male,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,13949,71746
223,02-01-2024,5444,Restaurant,MasterCard,Turgun,78,Male,Curabitur gravida nisi at nibh.,58330,141869
224,16-06-2024,8780,Clothing,MasterCard,Lunao,96,Female,Fusce posuere felis sed lacus.,19818,52263
225,15-06-2024,2249,Entertainment,MasterCard,Gaotaizi,34,Genderqueer,Integer tincidunt ante vel ipsum.,39590,31868
226,16-11-2023,5215,Restaurant,Discover,Tarikolot,56,Genderqueer,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",71871,122671
227,04-06-2024,1593,Restaurant,MasterCard,Bagacay,77,Male,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,80840,155019
228,04-06-2024,5211,Entertainment,Amex,South Tangerang,29,Female,Donec posuere metus vitae ipsum.,96857,59766
229,03-06-2024,7165,Healthcare,Discover,Phoenix,65,Male,In blandit ultrices enim.,2466,139399
230,07-06-2024,324,Travel,MasterCard,Bacong,82,Female,Nulla nisl. Nunc nisl.,87496,145621
231,23-06-2024,7043,Clothing,MasterCard,Ust’-Labinsk,70,Female,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",46574,97307
232,22-09-2023,1749,Entertainment,Visa,Si Ma Cai,62,Male,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",57831,117452
233,04-06-2024,329,Travel,Discover,Chejiazhuang,66,Male,Donec vitae nisi.,93991,189890
234,03-08-2024,9595,Entertainment,MasterCard,Duzhou,53,Male,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",30367,154484
235,04-01-2024,6882,Entertainment,MasterCard,Lomintsevskiy,42,Female,Nulla mollis molestie lorem.,14004,32485
236,16-12-2023,1916,Entertainment,MasterCard,Nice,86,Genderqueer,Etiam justo.,76962,55378
237,20-10-2023,8047,Clothing,MasterCard,Landi Kotal,39,Female,Suspendisse accumsan tortor quis turpis. Sed ante.,62848,67365
238,04-01-2024,7021,Education,MasterCard,Monchegorsk,70,Polygender,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,18028,41413
239,23-01-2024,2558,Restaurant,Amex,Jobabo,90,Male,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,30252,77119
240,24-05-2024,5767,Clothing,Amex,Pentre,47,Male,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",4317,190241
241,18-07-2024,9031,Healthcare,MasterCard,Boende,34,Male,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",48900,152483
242,11-11-2023,1397,Clothing,Amex,Hacı Zeynalabdin,47,Female,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",93861,87284
243,29-04-2024,6867,Clothing,Visa,Azogues,42,Female,Phasellus in felis. Donec semper sapien a libero. Nam dui.,19343,53255
244,23-05-2024,3379,Healthcare,Discover,Plovdiv,94,Female,Curabitur at ipsum ac tellus semper interdum.,59889,118076
245,14-09-2024,5426,Restaurant,Amex,Tampa,56,Genderqueer,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",27121,60342
246,17-12-2023,4941,Restaurant,Amex,Manning,58,Female,Suspendisse ornare consequat lectus.,82878,182400
247,11-03-2024,3636,Education,Discover,Zigong,40,Female,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,87333,74523
248,10-05-2024,9350,Groceries,Discover,Muaralabuh,78,Genderfluid,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",87337,153788
249,03-07-2024,8388,Groceries,MasterCard,Barbosa,27,Male,Aenean sit amet justo. Morbi ut odio.,79217,43123
250,01-06-2024,5171,Clothing,Amex,Montaigu,100,Male,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,66044,194572
251,29-07-2024,5041,Travel,Discover,Omuthiya,88,Female,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",19442,144831
252,16-06-2024,9512,Restaurant,Amex,Ozherel’ye,93,Female,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",90551,70379
253,12-03-2024,4985,Restaurant,Amex,Algarrobo,25,Male,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",53516,43263
254,07-07-2024,6121,Electronics,Discover,Yutan,49,Female,Cras in purus eu magna vulputate luctus.,73293,38842
255,24-06-2024,5286,Travel,MasterCard,Baofeng,28,Male,In hac habitasse platea dictumst.,65212,83708
256,19-09-2023,993,Clothing,Amex,Sundsvall,88,Female,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",16670,83022
257,05-06-2024,3443,Entertainment,Discover,Stockholm,22,Female,Vestibulum sed magna at nunc commodo placerat.,24912,181820
258,17-10-2023,275,Groceries,Amex,Al Jubayl,57,Female,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",55841,103754
259,28-10-2023,722,Groceries,Discover,Xia’ertai,89,Male,Phasellus in felis. Donec semper sapien a libero.,84470,67514
260,11-12-2023,7061,Electronics,MasterCard,Perechyn,24,Male,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",3152,112239
261,31-03-2024,6738,Electronics,Visa,Bálsamo Oriental,57,Male,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",82557,89840
262,22-03-2024,5215,Entertainment,Amex,Baolong,60,Female,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,96229,191689
263,21-08-2024,6949,Entertainment,Visa,Velké Pavlovice,44,Bigender,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,48681,141372
264,12-11-2023,761,Groceries,Amex,Gejiu,53,Genderqueer,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",7154,66367
265,28-03-2024,3303,Entertainment,Amex,Şafāshahr,61,Female,Aliquam sit amet diam in magna bibendum imperdiet.,68814,86225
266,03-09-2024,9155,Restaurant,Amex,Nanao,64,Male,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",83267,108445
267,23-11-2023,3852,Entertainment,Amex,Bilyarsk,85,Female,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",87802,141945
268,05-11-2023,6823,Restaurant,MasterCard,Gawanan,26,Female,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",74850,129560
269,03-03-2024,461,Education,Amex,Tanjungbatu,48,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",66713,105580
270,19-03-2024,2536,Education,MasterCard,Mantar,64,Female,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,77865,193055
271,28-11-2023,9699,Groceries,Visa,Baimaqiao,85,Female,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,2101,126007
272,29-02-2024,5625,Groceries,Visa,Balung Barat,76,Female,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,25050,50657
273,02-11-2023,4041,Groceries,Discover,Baoxing,23,Female,Mauris ullamcorper purus sit amet nulla.,92398,43101
274,30-12-2023,2505,Restaurant,Discover,Jialu,73,Genderqueer,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",69963,143750
275,31-05-2024,1554,Restaurant,Discover,Bergen,30,Female,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",60361,187539
276,06-04-2024,9757,Entertainment,MasterCard,Changsha,84,Male,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,35195,96254
277,16-09-2023,939,Restaurant,MasterCard,Nazyvayevsk,61,Non-binary,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",14995,167951
278,22-08-2024,2404,Healthcare,Amex,Ngroto,49,Male,Cras non velit nec nisi vulputate nonummy.,73236,26119
279,13-06-2024,9556,Education,Amex,Potok Złoty,36,Female,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,83374,128031
280,08-12-2023,3915,Groceries,Discover,Obock,68,Male,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",45641,47079
281,28-04-2024,2646,Clothing,MasterCard,Qizili,55,Male,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,99732,131214
282,22-05-2024,6271,Entertainment,MasterCard,Anding,52,Female,Aenean lectus. Pellentesque eget nunc.,19279,79192
283,03-10-2023,8350,Healthcare,Amex,Bang Krathum,75,Male,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,40832,98881
284,31-05-2024,5241,Travel,Visa,Ebaye,60,Female,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,21253,53415
285,11-06-2024,5576,Clothing,Amex,Nianba,90,Female,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",8111,166227
286,19-01-2024,1641,Groceries,Discover,Huilong,42,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",55076,39295
287,28-10-2023,7050,Healthcare,Amex,Chantal,38,Male,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",38230,93426
288,13-07-2024,4562,Entertainment,MasterCard,Priozërsk,60,Female,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",22996,32793
289,14-03-2024,6420,Clothing,Discover,Paço,55,Female,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",71670,117290
290,07-10-2023,7733,Healthcare,Visa,Tukuyu,93,Male,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",10335,197470
291,10-07-2024,7969,Travel,Visa,Feni,96,Female,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",95998,155527
292,04-07-2024,1229,Education,Discover,Makati City,33,Male,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",5314,37740
293,22-03-2024,5513,Clothing,Visa,Severomorsk,64,Female,Nunc purus.,20600,199939
294,24-11-2023,3030,Electronics,Amex,Soi Dao,61,Male,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,50076,24409
295,20-04-2024,2215,Groceries,MasterCard,Sosnówka,100,Female,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,66684,155825
296,20-08-2024,7460,Travel,Amex,Privolzhsk,54,Female,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2183,157604
297,01-05-2024,1639,Education,Visa,Petrovskiy,45,Female,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",33330,29602
298,06-11-2023,575,Travel,Visa,Mentougou,49,Non-binary,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",53755,187130
299,04-05-2024,282,Education,Discover,Meiyuan,93,Male,Phasellus in felis. Donec semper sapien a libero.,65717,125933
300,11-07-2024,5863,Groceries,Discover,Piru,94,Female,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",88898,152720
301,04-11-2023,7410,Entertainment,Discover,Xinying,43,Female,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,76070,27428
302,23-06-2024,6599,Clothing,Amex,Shangqing,35,Male,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",58106,32420
303,26-06-2024,3471,Clothing,Amex,Bandeirantes,49,Male,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",36014,120648
304,04-07-2024,6878,Education,Discover,Hejiabao,68,Non-binary,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,92959,110885
305,12-06-2024,8586,Entertainment,Discover,Heiheba,90,Female,Proin risus.,10188,65933
306,27-03-2024,4749,Electronics,Visa,Parigi,83,Male,Cras non velit nec nisi vulputate nonummy.,71510,102971
307,27-04-2024,6219,Healthcare,Visa,Khombole,67,Polygender,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,86944,182557
308,16-10-2023,6920,Healthcare,Discover,Sangalhos,73,Female,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",62926,141483
309,03-01-2024,4368,Clothing,Discover,Cotuí,100,Female,Praesent blandit. Nam nulla.,58673,152944
310,20-07-2024,9251,Education,Visa,Batudulang,24,Female,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",50636,118092
311,12-06-2024,4482,Entertainment,Visa,Gangmian,43,Male,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",47117,131718
312,09-09-2024,7087,Healthcare,Visa,Perpignan,87,Male,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",76599,164879
313,08-11-2023,41,Entertainment,Visa,Na Yung,36,Male,In sagittis dui vel nisl. Duis ac nibh.,26350,99305
314,22-08-2024,264,Restaurant,Visa,Malalag,75,Agender,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",54114,167285
315,26-05-2024,5393,Healthcare,MasterCard,Waru,31,Female,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,31422,191314
316,31-01-2024,6556,Education,Discover,Saga,68,Genderqueer,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,80677,93453
317,01-05-2024,7903,Restaurant,Visa,Marihatag,26,Female,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",99836,163041
318,09-10-2023,5176,Restaurant,Visa,Tasikmalaya,55,Male,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",68575,71399
319,22-02-2024,6453,Education,Discover,Lundazi,78,Female,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,6543,170025
320,23-06-2024,7520,Electronics,MasterCard,Ostrów Wielkopolski,74,Genderqueer,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",93279,121240
321,20-02-2024,5974,Electronics,Discover,Zhoujiaba,84,Female,Nunc purus.,27613,55484
322,29-06-2024,8017,Entertainment,MasterCard,Priiskovyy,74,Female,Curabitur gravida nisi at nibh.,78688,133392
323,06-10-2023,1403,Entertainment,Visa,Duque de Caxias,70,Female,Aliquam sit amet diam in magna bibendum imperdiet.,1026,156463
